cluster,gene,p_val,p_val_adj,avg_log2FC,pct.1,pct.2
1,Fam129b,8.880832127607266e-6,0.23353036162756066,0.7107399125688181,1,0.976
1,Dcn,8.939677720327122e-6,0.23507776533372202,-0.6899085204234128,0.314,0.695
1,Ddx3x,9.100695786836315e-6,0.23931189641064773,0.3871365997809253,1,1
1,Pde8b,9.74669485211237e-6,0.25629908783114685,0.7065546443910353,1,0.939
1,Fndc3a,9.760790305782925e-6,0.2566697418808678,0.8485386097198901,1,0.98
1,Stmn4,9.904923605985941e-6,0.2604598711430063,1.1481024605915549,1,0.939
1,Camk1,1.0027358112365976e-5,0.2636794089227757,0.7404701010150552,1,0.996
1,Cpne2,1.0744110914082461e-5,0.2825271405967124,0.7169731962226047,1,0.955
1,Tomm70a,1.1055167729499796e-5,0.29070669061492665,0.6512043189082863,1,0.996
1,Camk2a,1.1156969246986051e-5,0.2933836633187452,1.0174881026385831,1,0.943
1,Pfkl,1.127643792131719e-5,0.29652521157895684,0.6939069164410068,1,0.984
1,Fmo1,1.1683350210542754e-5,0.3072253771364322,0.6349436968372526,1,0.984
1,6330403K07Rik,1.1793765195230757e-5,0.310128849573788,0.8987891928345499,1,0.886
1,Steap2,1.1936648003614669e-5,0.31388609590305133,0.9394601673676188,1,0.841
1,Shisa9,1.213340247358429e-5,0.31905995144537247,2.3351841915896294,0.343,0.089
1,Stt3b,1.2250255815017625e-5,0.32213272691170347,0.5089840062499773,1,0.996
1,F2r,1.2274816309741475e-5,0.32277856968096186,-2.4691308585550824,0.486,0.764
1,Lgmn,1.269701405786363e-5,0.333880681665582,-1.2709380208046772,1,1
1,Atf4,1.283214887034485e-5,0.3374341866945882,0.4479643507159441,1,1
1,Pcdhgc4,1.2868833748039542e-5,0.3383988522384478,0.653331244236413,1,0.984
1,Fgd3,1.2889457259745852e-5,0.3389411681022769,0.9285035589897062,0.914,0.699
1,Txnrd3,1.3073589180161075e-5,0.3437831010815156,0.7989451191833083,1,0.939
1,Myt1l,1.3214912129455864e-5,0.3474993293561714,0.7249718342386426,1,0.972
1,Lifr,1.3295271055130624e-5,0.34961244766571486,0.4963108244375585,1,0.996
1,Lmna,1.3843642296347232e-5,0.3640324178247468,0.1415710771639862,1,1
1,St8sia1,1.4004048812809922e-5,0.3682504675816497,-1.5758870527171673,0.543,0.837
1,Tmem109,1.4027458394512128e-5,0.36886604594209094,0.5205591959428455,1,0.98
1,Ifi27,1.4200605508402054e-5,0.37341912244894043,0.4102022793419806,1,1
1,Cyp7b1,1.4217675991105756e-5,0.373868007862117,-2.416869028077438,0.286,0.626
1,Ntm,1.4423328582583292e-5,0.37927584840761025,1.3807615213674254,0.886,0.85
1,Myd88,1.4539142041218366e-5,0.38232127911587815,0.7436335456246885,1,0.935
1,A830005F24Rik,1.4584454113391408e-5,0.38351280536574045,-1.4741163747829444,0.343,0.732
1,Sez6l,1.4613474314720816e-5,0.38427592057989857,2.0917251128668406,0.771,0.606
1,Adrm1,1.4854053752774957e-5,0.39060219748297026,0.39111391692305464,1,1
